number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
39,"When choosing a geographic deployment region, what factors might an enrollee consider?",End-user perceptions of glamorous or trendy geographic locations,Proximity to the point of service,Number of availability zones within a region,Additional fees charged for regions with geo-political unrest,,,"2, 3",It is better to choose the nearest region to avoid any lag or latency with higher number of availability zones.,,Test 9,9
40,Two virtual warehouses can access the same data at the same time without causing contention issues,TRUE,FALSE,,,,,1,This is true and unique feature of Snowflake to make the data available for everyone intended to access any time without any contention issues.,,Test 9,9
41,"Which SQL statements will need a running Warehouse and consume credit? Consider table created as – CREATE OR REPLACE TABLE T1 ( ID number(2), Name varchar(20), Salary number (11,2) );",SELECT MAX(ID) FROM T1;,SELECT AVG(ID) FROM T1;,SELECT MIN(ID) FROM T1;,SELECT COUNT(*) FROM T1;,,,2,"Cloud services layer does not store average value of column data, and so, it gets computed and requires a running warehouse.",,Test 9,9
42,There are two types of Snowflake planned releases. Please choose all applicable.,Full Release,Upgrade Release,Installation release,Patch Release,,,"1, 4","There are two types of planned releases:1 – Full Release – It covers new features, feature enhancement or updates,  and fixes2- Patch Release – A patch release includes fixes only. Note that the patch release for a given week may be canceled if the full release for the week is sufficiently delayed or prolonged.Note – Every month, Snowflake deploys one behavior change release. Behavior change releases contain changes to existing behaviors that may impact customers.",,Test 9,9
43,"To change the warehouse that will be used to run a SQL command within a specific worksheet (for example, changing the worksheet so that it uses LARGE), what two options are available?",Update the Warehouse field in the Context Menu located above the worksheet.,Run a SQL command like “SET WAREHOUSE CONTEXT=LARGE_WH“,Run a SQL Command like “USE WAREHOUSE LARGE_WH;“,Go to Worksheet properties page and set the Warehouse field to LARGE_WH,,,"1, 3","USE WAREHOUSE; command sets the warehouse for the current session, whereis the name of the warehouse which needs to be set for the session. Warehouse can be also set using Web UI Context pane.",,Test 9,9
44,Which is not the function under Metadata Management of Cloud Services Layer?,Used for storing physical micro partition,Handles Queries that can be processes completely from metadata,Used for Time Travel and Cloning,Stores Metadata as data is loaded into the system,,,1,Metadata Management has following major functions: – Stores metadata as data is loaded into the system – Handles queries that can be processes completely from metadata -Used for Time Travel and Cloning -Every aspect of Snowflake architecture leverages metadata,,Test 9,9
45,"John ran a query which took around 30 mins. He referred to Query profiler, and found the ‘Bytes spilled to local storage‘ has big number. What could be the issue?",John should contact Snowflake Personnel,John is using comparatively smaller warehouse,Warehouse size has no impact on Bytes spilling,John is using very large warehouse,,,2,"If a node has insufficient memory to complete its portion of a query, it will “spill“ to local SSD storage. This can negatively impact performance, but is sometimes acceptable. If a node has insufficient local SSD storage to complete its portion of a query, it will “spill“ to remote cloud storage. This is almost always very bad for performance. The solution in either case is… to simplify the SQL query or increase the warehouse size (to increase scarce resources).",,Test 9,9
46,JSON arrays are written inside which type of brackets?,Round Brackets,Square Brackets,Curly Braces,,,,2,"JSON arrays are written inside square brackets. An array can contain multiple objects, separated by commas. For example: {“employees“:[ {“firstName“:“John“, “lastName“:“Doe“}, {“firstName“:“Anna“, “lastName“:“Smith“}, {“firstName“:“Peter“, “lastName“:“Jones“} ] }",,Test 9,9
47,Snowflake is a Cloud Data Platform delivered as a service.,FALSE,TRUE,,,,,2,Snowflake is a cloud native data platform. It is not a lift and shift of on-premise data warehouse to cloud.,,Test 9,9
48,Which tables will experience the most benefit from clustering?,Tables in the multi-terabyte (TB) range,Tables with sizes between the range of 100 MB to 1 GB compressed,Tables with sizes between the range of 1 GB to 10 GB compressed,All sizes of tables,,,1,"In general, tables in the multi-terabyte (TB) range will experience the most benefit from clustering, particularly if DML is performed regularly/continually on these tables.",,Test 9,9
49,Which of the following are Snowflake view types? (Select 3),Standard,Permanent,Materialized,Secure,Transient,,"1, 3, 4",Permanent and Transient are types of Table not View.,,Test 9,9
50,Objects that are dropped from a shared database and then recreated with the same name are not immediately available in the share; you must execute grant usage on the objects to make them available,TRUE,FALSE,,,,,1,"True, you need to GRANT on newly create object. It doesn‘t matter if you create the same object what you have dropped.",,Test 9,9
51,"Which table type disappears after the close of the session and therefore has no fail-safe, and no time travel options after the close of the session?",Permanent,External,Transient,Temporary,,,4,Temporary table is tied to a session only.,,Test 9,9
52,Snowflake is a packaged software offering that can be installed by a user.,FALSE,TRUE,,,,,1,Snowflake is a cloud native data platform.,,Test 9,9
53,"Which query will require compute (Virtual Warehouse)? Consider table created as – CREATE or replace TABLE T1 ( ID number(2), Name varchar(20), ID number (11,2) );",SELECT * FROM T1;,SELECT CURRENT_ACCOUNT();,SHOW DATABASES;,SELECT MAX(ID) FROM T1;,SELECT MIN(ID) FROM T1;,,1,"Except SELECT * FROM T1, all the queries return results from cloud services layer metadata, So these queries do not need a running Virtual Warehouse.",,Test 9,9
54,"The following SQL statement will require a running warehouse – CREATE TABLE T1 (NAME (VARCHAR20), ADDRESS VARCHAR (50));",TRUE,FALSE,,,,,2,"CREATE DDL statement is handles by Cloud Services layer and so, it doesn‘t require Virtual Warehouse.",,Test 9,9
55,Which of the following workload is Snowflake suited for?,Data Engineering,Data Applications,Data Lakes,Data Sharing and Exchanges,Data Science,Data Warehouse,"1, 2, 3, 4, 5, 6",Snowflake is not a just Data Warehouse platform. It is a Data platform which can handle all of these workloads.,,Test 9,9
56,How many maximum columns (or expressions) are recommended for a cluster key?,7 to 8,12 to 16,3 to 4,"Higher the number of columns (or expressions) in the key, better will be the performance",,,3,"A single clustering key can contain one or more columns or expressions. For most tables, Snowflake recommends a maximum of 3 or 4 columns (or expressions) per key. Adding more than 3-4 columns tends to increase costs more than benefits.",,Test 9,9
57,Which statement accurately describes the Snowflake Cloud Services layer?,"A collection of independent, scalable, and stateless services providing crucial data management capabilities",A collection of tightly coupled database management features,A set of Cloud providers‘ general services made available to users via the internet,Managed and scaled by the user,,,1,Snowflake is a cloud native data platform. It is not a cloud provider like AWS or Azure. It offers unique architecture of decoupled storage and compute with unlimited elasticity capability.,,Test 9,9
58,Snowflake calculates usage of data stored in the system for:,Cloud storage used in External Stage,Files staged for bulk data loading/unloading,Clones of database tables that reference data deleted in the table that owns the clones,"Database tables, including historical data for Time Travel",Fail-safe for database tables,,"2, 3, 4, 5","Usage for data storage is calculated on the daily average amount of data (in bytes) stored in the system for: – Files staged for bulk data loading/unloading (can be stored compressed or uncompressed). – Database tables, including historical data for Time Travel (always compressed by Snowflake). – Fail-safe for database tables (always compressed by Snowflake). – Clones of database tables that reference data deleted in the table that owns the clones. Cloud storage used in External Stage is not managed by Snowflake. Its customers who pay to their cloud provider.",,Test 9,9
59,Which of the following are unique objects introduced by Snowflake?,PIPE,STAGE,TABLE,,,,"1, 2",STAGE and PIPE are unique Snowflake objects.,,Test 9,9
60,Can you share data with multiple consumers with row based access control?,NO,YES,,,,,2,Secure View with Account mapping using CURRENT_ACCOUNT();,,Test 9,9
1,To restore the table by undrop command what all conditions should be met?,The table can be restored in same schema only from which it has been dropped,User must of CREATE privileges on the schema in which table is getting restored,The table can be restored in any schema irrespective from whichever schema the table was dropped.,User executing undrop command should have ownership privilege on the table,,,"1, 2, 4","Similar to dropping an object, a user must have OWNERSHIP privileges for an object to restore it. In addition, the user must have CREATE privileges on the object type for the database or schema where the dropped object will be restored. Restoring tables and schemas is only supported in the current schema or current database, even if a fully-qualified object name is specified Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period",https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 10,10
2,What is the default table type when a CREATE TABLE is executed?,PERMANENT,TRANSIENT,MATERIALIZED,TEMPORARY,,,1,"The default type for tables is permanent. To define a table as temporary or transient, you must explicitly specify the type during table creation: CREATE [ OR REPLACE ] [ TEMPORARY | TRANSIENT ] TABLE",,Test 10,10
3,"A stream object records data manipulation language (DML) changes made to tables, including inserts and updates but cannot record deletes made to tables",TRUE,FALSE,,,,,2,"A stream object records data manipulation language (DML) changes made to tables, including inserts, updates, and deletes, as well as metadata about each change, so that actions can be taken using the changed data. This process is referred to as change data capture (CDC). An individual table stream tracks the changes made to rows in a source table. A table stream (also referred to as simply a stream) makes a change table available of what changed, at the row level, between two transactional points of time in a table. This allows querying and consuming a sequence of change records in a transactional fashion.",,Test 10,10
4,The CDC records returned when querying a stream rely on a combination of –,Offset stored in Table,Offset Stored in Stream,Change Tracking Metadata Stored in Stream,The change tracking metadata stored in the table,,,"2, 4","Note that a stream itself does not contain any table data. A stream only stores the offset for the source table and returns CDC records by leveraging the versioning history for the source table. When the first stream for a table is created, a pair of hidden columns are added to the source table and begin storing change tracking metadata. These columns consume a small amount of storage. The CDC records returned when querying a stream rely on a combination of the offset stored in the stream and the change tracking metadata stored in the table.",,Test 10,10
5,Which type of table stream is supported only on external tables?,Native,Append-Only,Insert-Only,Update-Only,Standard,,3,"Insert-only Supported on external tables only. An insert-only stream tracks row inserts only; they do not record delete operations that remove rows from an inserted set (i.e. no-ops). For example, in-between any two offsets, if File1 is removed from the cloud storage location referenced by the external table, and File2 is added, the stream returns records for the rows in File2 only. Unlike when tracking CDC data for standard tables, Snowflake cannot access the historical records for files in cloud storage. Overwritten files are essentially handled as new files: The old version of the file is removed from cloud storage, but the insert-only stream does not record the delete operation. The new version of the file is added to cloud storage, and the insert-only stream records the rows as inserts. The stream does not record the diff of the old and new file versions",,Test 10,10
6,"If you have a table with a 10-day retention period and increase the period to 20 days, then the data that was moved to fail safe on 11th day, will be moved back to Time Travel, and will have more 9 days left for time travel retention end",FALSE,TRUE,,,,,1,The data once moved to fail safe cannot moved back to time travel retenion period.,,Test 10,10
7,Which parameter is used to check if the stream contains change data for a table or not?,SYSTEM$STREAM_HAS_CHANGED_DATA,SYSTEM$STREAM_HAS_NEW_DATA,SYSTEM$STREAM_HAS_DATA,SYSTEM$STREAM_HAS_MODIFIED_DATA,,,3,"Tasks may optionally use table streams to provide a convenient way to continuously process new or changed data. A task can transform new or changed rows that a stream surfaces. Each time a task is scheduled to run, it can verify whether a stream contains change data for a table (using SYSTEM$STREAM_HAS_DATA) and either consume the change data or skip the current run if no change data exists.",,Test 10,10
8,Fail Safe is configurable by the user,TRUE,FALSE,,,,,2,Fail-safe provides a (non-configurable) 7-day period during which historical data is recoverable by Snowflake. This period starts immediately after the Time Travel retention period ends.,,Test 10,10
9,"A table named “MY_TABLE“ has a retention period of 7 days. The table is dropped, and a new table with the same name “MY_TABLE“ has been created. Now if the UNDROP MY_TABLE command is executed what will happen?",The UNDROP command will fail,The UNDROP command will restore the dropped version with a new name,The UNDROP command will overwrite the already existing table with the previously dropped table,,,,1,"If an object with the same name already exists, UNDROP fails. You must rename the existing object, which then enables you to restore the previous version of the object.",,Test 10,10
10,"Many logical data models refer to entities, attributes and values. In JSON, and some other semi-structured types, the word “attribute“ is often replaced with what word?",Relationships,Columns,Keys,Values,Rows,,3,Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
11,Which of the following are true about the variant data type in Snowflake? Select all that apply.,Can be queried using JSON path notation,Optimized storage based on repeated elements,Stored in a separate file format from structured data,Requires a custom mapping for each record type,,,"1, 2",Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
12,"Dropped tables, schemas, and databases can be listed using the SHOW commands with which keyword specified?",DROPPED_RECORDS,PREVIOUS VERSIONS,HISTORY,OLD VERSIONS,,,3,"Dropped tables, schemas, and databases can be listed using the following commands with the HISTORY keyword specified: SHOW TABLES SHOW SCHEMAS SHOW DATABASES The output includes all dropped objects and an additional DROPPED_ON column, which displays the date and time when the object was dropped. If an object has been dropped more than once, each version of the object is included as a separate row in the output.",,Test 10,10
13,What are the additional metadata columns available in Stream to track changes?,METADATA$ISDELETE,METADATA$ISINSERT,METADATA$ACTION,METADATA$ISUPDATE,METADATA$ROW_ID,,"3, 4, 5",Refer link –https://docs.snowflake.com/en/user-guide/streams.html,https://docs.snowflake.com/en/user-guide/streams.html,Test 10,10
14,"Snowflake Tasks executions are associated with the user who created the task, i.e. in the history database we can see that the task is getting executed under the username of the User who created that task",TRUE,FALSE,,,,,2,"Snowflake runs tasks with the privileges of the task owner (i.e. the role that has OWNERSHIP privilege on the task), but task runs are not associated with a user. Instead, each run is executed by a system service. Tasks are decoupled from specific users to avoid complications that can arise when users are dropped, locked due to authentication issues, or have roles removed. Because task runs are decoupled from a user, the query history for task runs are associated with the system service. SYSTEM is not a user in the account; it is a behind-the-scenes service. As such, there are no user credentials for this service, and no individual (from Snowflake or in your account) can assume its identity. Activity for the system service is limited to your account. The same encryption protections and other security protocols are built into this service as are enforced for other operations.",,Test 10,10
15,"The time travel retention period can only be set at individual object level, and cannot be setup at account level",FALSE,TRUE,,,,,1,"The retention period can be applied at Account level, and object level (i.e. databases, schemas, and tables).",,Test 10,10
16,What are the different types of streams available?,Append-Only,Insert-Only,Standard,Update-Only,Native,,"1, 2, 3",Refer link –https://docs.snowflake.com/en/user-guide/streams.html,https://docs.snowflake.com/en/user-guide/streams.html,Test 10,10
17,What features are provided by Snowflake to enable continuous data pipelines?,All options are correct,Continous Data Loading,Recurring Tasks,Change Data Tracking,,,1,Refer document –https://docs.snowflake.com/en/user-guide/data-pipelines-intro.html,https://docs.snowflake.com/en/user-guide/data-pipelines-intro.html,Test 10,10
18,"To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides which two table types",TRANSIENT,MATERIALIZED,PERMANENT,TEMPORARY,,,"1, 4","To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides two table types, temporary and transient, which do not incur the same fees as standard (i.e. permanent) tables: Transient tables can have a Time Travel retention period of either 0 or 1 day. Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends. Transient and temporary tables have no Fail-safe period. As a result, the maximum additional fees incurred for Time Travel and Fail-safe by these types of tables is limited to 1 day",,Test 10,10
19,"If a task is still running when the next scheduled execution time occurs, what happens?",The tasks that is running fails and stops,The tasks that is running fails and retriggers,The next execution of the tasks starts as soon as the current execution gets over,That schedule time is skipped,,,4,"Snowflake ensures only one instance of a task with a schedule (i.e. a standalone task or the root task in a tree of tasks) is executed at a given time. If a task is still running when the next scheduled execution time occurs, then that scheduled time is skipped.",,Test 10,10
20,An append-only table stream tracks row inserts only. Update and delete operations (including table truncates) are not recorded,TRUE,FALSE,,,,,1,"An append-only table stream tracks row inserts only. Update and delete operations (including table truncates) are not recorded. For example, if 10 rows are inserted into a table and then 5 of those rows are deleted before the offset for an append-only stream is advanced, the stream records 10 rows. An append-only stream returns the appended rows only and therefore can be much more performant than a standard stream for extract, load, transform (ELT) and similar scenarios that depend exclusively on row inserts. For example, the source table can be truncated immediately after the rows in an append-only stream are consumed, and the record deletions do not contribute to the overhead the next time the stream is queried or consumed.",,Test 10,10
21,What is the limit of number of tasks that can be included in a tree of tasks?,100,Unlimited,1000,10000,,,3,"A simple tree of tasks is limited to a maximum of 1000 tasks total (including the root task) in a resumed state. An individual task in the tree is limited to a single predecessor task; however, a task can have a maximum of 100 child tasks (i.e. other tasks that identify the task as a predecessor).",,Test 10,10
22,Non-native values such as dates and timestamps are stored as strings when loaded into a VARIANT column,TRUE,FALSE,,,,,1,"Non-native values such as dates and timestamps are stored as strings when loaded into a VARIANT column, so operations on these values could be slower and also consume more space than when stored in a relational column with the corresponding data type.",,Test 10,10
23,"A task object defines a recurring schedule for executing a SQL statement, including statements that call stored procedures",FALSE,TRUE,,,,,2,"A task object defines a recurring schedule for executing a SQL statement, including statements that call stored procedures. Tasks can be chained together for successive execution to support more complex periodic processing.",,Test 10,10
24,What data structure types can be ingested into a VARIANT column in a Snowflake table? (Check all that apply),JSON,XML,ORC,PARQUET,HADOOP,AVRO,"1, 2, 3, 4, 6",Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
25,UNDROP command is applicable to which all objects,DATABASES,SCHEMA,TABLES,ROLES,USERS,,"1, 2, 3",Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html,https://docs.snowflake.com/en/user-guide/data-time-travel.html,Test 10,10
26,Which file format option can be enabled in JSON or AVRO file to remove the outer array structure and load the records into separate table rows,REMOVE_OUTER_ARRAY,STRIP_OUTER_ARRAY,ELIMINATE_OUTER_ARRAY,READ_INTERNAL_ARRAYS,,,2,"In general, JSON and Avro data sets are a simple concatenation of multiple documents. The JSON or Avro output from some software is composed of a single huge array containing multiple records. There is no need to separate the documents with line breaks or commas, though both are supported. Instead, we recommend enabling the STRIP_OUTER_ARRAY file format option for the COPY INTO",,Test 10,10
27,Time Travel in Snowflake is useful for which of the following tasks,Analyzing data usage/manipulation over specified periods of time,"Restoring data-related objects (tables, schemas, and databases) that might have been accidentally or intentionally deleted","Restoring data in event of a system failure or other catastrophic event, e.g. a hardware failure or security breach.",Duplicating and backing up data from key points in the past,,,"1, 2, 4","Snowflake Time Travel enables accessing historical data (i.e. data that has been changed or deleted) at any point within a defined period. It serves as a powerful tool for performing the following tasks: Restoring data-related objects (tables, schemas, and databases) that might have been accidentally or intentionally deleted. Duplicating and backing up data from key points in the past. Analyzing data usage/manipulation over specified periods of time. Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html",https://docs.snowflake.com/en/user-guide/data-time-travel.html,Test 10,10
28,What is the standard time travel retention period which is enabled for all snowflake accounts?,7 days,14 days,24 hours,48 hours,,,3,"The standard retention period is 1 day (24 hours) and is automatically enabled for all Snowflake accounts: For Snowflake Standard Edition, the retention period can be set to 0 (or unset back to the default of 1 day) at the account and object level (i.e. databases, schemas, and tables). For Snowflake Enterprise Edition (and higher): For transient databases, schemas, and tables, the retention period can be set to 0 (or unset back to the default of 1 day). The same is also true for temporary tables. For permanent databases, schemas, and tables, the retention period can be set to any value from 0 up to 90 days.",,Test 10,10
29,Extended time travel of 90 days is supported starting which snowflake edition,Standard,Enterprise,Business Critical,Premier,Virtual Private Snowflake,,2,Standard Time Travel is 1 day. Extended Time Travel (up to 90 days) requires Snowflake Enterprise Edition.,,Test 10,10
30,Which two table types dont have fail safe?,TEMPORARY,TRANSIENT,PERMANENT,,,,"1, 2","To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides two table types, temporary and transient, which do not incur the same fees as standard (i.e. permanent) tables: Transient tables can have a Time Travel retention period of either 0 or 1 day. Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends. Transient and temporary tables have no Fail-safe period. As a result, the maximum additional fees incurred for Time Travel and Fail-safe by these types of tables is limited to 1 day",,Test 10,10
31,What is the column datatype used for ingesting semi-structured data?,VARCHAR,DATETIME,BINARY,STRING,VARIANT,,5,Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
32,"If you change the data retention period for a table, the new retention period impacts all data that is active, as well as any data currently in Time Travel",TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html,https://docs.snowflake.com/en/user-guide/data-time-travel.html,Test 10,10
33,Under what circumstances would Fail-Safe NOT be an effective method for data recovery?,As a means for accessing historical data after the Time Travel retention period has ended,To recover data that may have been lost or damaged due to extreme operational failures,To protect data in the event of a system failure or other catastrophic event e.g. a hardware failure or security breach,,,,1,"Fail Safe is something that is managed by Snowflake, and the end user cannot directly query data from Fail Safe.In case for any table whos time travel period is over, and we need to still restore the data within 7 days of time travel getting over, then Snowflake Support team can help us get that data.However, as per Snowflake “Fail-safe is not provided as a means for accessing historical data after the Time Travel retention period has ended. It is for use only by Snowflake to recover data that may have been lost or damaged due to extreme operational failures.“You can refer this link for the details – https://docs.snowflake.com/en/user-guide/data-failsafe.html",,Test 10,10
34,Snowflake minimizes the amount of storage required for historical data by maintaining only the information required to restore the individual table rows that were updated or deleted,FALSE,TRUE,,,,,2,"The fees are calculated for each 24-hour period (i.e. 1 day) from the time the data changed. The number of days historical data is maintained is based on the table type and the Time Travel retention period for the table. Also, Snowflake minimizes the amount of storage required for historical data by maintaining only the information required to restore the individual table rows that were updated or deleted. As a result, storage usage is calculated as a percentage of the table that changed. Full copies of tables are only maintained when tables are dropped or truncated.",,Test 10,10
35,A single tasks in snowflake can execute multiple SQL Statements,TRUE,FALSE,,,,,2,"Currently, a task can execute a single SQL statement, including a call to a stored procedure.Tasks can be combined with table streams for continuous ELT workflows to process recently changed table rows. Streams ensure exactly once semantics for new or changed data in a table. Tasks can also be used independently to generate periodic reports by inserting or merging rows into a report table or perform other periodic work.",,Test 10,10
36,select * from my_table at(offset => -60*5); This query will select historical data from “my_table“ as of –,5 days ago,5 seconds ago,5 minutes ago,5 hours ago,,,3,Refer link –https://docs.snowflake.com/en/user-guide/data-time-travel.html,https://docs.snowflake.com/en/user-guide/data-time-travel.html,Test 10,10
37,"What is the maximum number of child tasks, a given task can have?",100,10000,10,1000,Unlimited,,1,"A simple tree of tasks is limited to a maximum of 1000 tasks total (including the root task) in a resumed state. An individual task in the tree is limited to a single predecessor task; however, a task can have a maximum of 100 child tasks (i.e. other tasks that identify the task as a predecessor).",,Test 10,10
38,Storage fees are incurred for maintaining historical data during the Time Travel but not during Fail-safe periods as Fail safe is managed by Snowflake,TRUE,FALSE,,,,,2,Storage cost is for both Time Travel & Fail Safe. Refer Link –https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html,https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html,Test 10,10
39,"When a task is created, it is in resumed state by default?",TRUE,FALSE,,,,,2,Create a task using CREATE TASK. The task is suspended by default.,,Test 10,10
40,What is the full form of ORC?,Optimized Read Columnar,Optimized Row Columnar,Object Row Columnar,Object Read Class,,,2,"Used to store Hive data, the ORC (Optimized Row Columnar) file format was designed for efficient compression and improved performance for reading, writing, and processing data over earlier Hive file formats. For more information about ORC, seehttps://orc.apache.org/.",https://orc.apache.org/,Test 10,10
41,"Using Time Travel, you can perform which of the following actions within a defined period of time (i.e. within the time travel period of the object)","Restore tables, schemas, and databases that have been dropped","Create clones of entire tables, schemas, and databases at or before specific points in the past",Query data in the past that has since been updated or deleted,All options are correct,,,4,"Using Time Travel, you can perform the following actions within a defined period of time: Query data in the past that has since been updated or deleted. Create clones of entire tables, schemas, and databases at or before specific points in the past. Restore tables, schemas, and databases that have been dropped. Once the defined period of time has elapsed, the data is moved into Snowflake Fail-safe and these actions can no longer be performed.",,Test 10,10
42,Which semi structure data types are available in Snowflake,ARRAY,OBJECT,SEMI STRUCTURE,STRING,VARIANT,,"1, 2, 5",Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
43,Which of the following Snowflake Object is used for a schedule execution of SQL statement?,Stored Procedure,Streams,Snowpipe,Tasks,,,4,"User-defined tasks allow scheduled execution of SQL statements. Tasks run according to a specified execution configuration, using any combination of a set interval and/or a flexible schedule using a subset of familiar cron utility syntax. Tasks currently run in user-specified warehouses but will eventually run in a serverless environment using Snowflake-supplied compute resources.",,Test 10,10
44,For which table type the retention period ends as soon as the the table is dropped or the session in which the table was created ends.,TEMPORARY,MATERIALIZED,PERMANENT,TRANSIENT,,,1,"To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides two table types, temporary and transient, which do not incur the same fees as standard (i.e. permanent) tables: Transient tables can have a Time Travel retention period of either 0 or 1 day. Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends. Transient and temporary tables have no Fail-safe period. As a result, the maximum additional fees incurred for Time Travel and Fail-safe by these types of tables is limited to 1 day",,Test 10,10
45,Fail Safe is not supported in Standard Snowflake edition,TRUE,FALSE,,,,,2,"Fail Safe is a default feature available with all snowflake edition, without any extra license cost",,Test 10,10
46,Table stream also contains actual table data,TRUE,FALSE,,,,,2,"A stream itself does not contain any table data. A stream only stores the offset for the source table and returns CDC records by leveraging the versioning history for the source table. When the first stream for a table is created, a pair of hidden columns are added to the source table and begin storing change tracking metadata. These columns consume a small amount of storage. The CDC records returned when querying a stream rely on a combination of the offset stored in the stream and the change tracking metadata stored in the table.",,Test 10,10
47,"DATA_RETENTION_TIME_IN_DAYS paramete is defined as 1 day at account level, and the same parameter is set as 7 days at Database level. Now a table is created inside the given database without specifying any explicit DATA_RETENTION_TIME_IN_DAYS parameter. What would be the data retention period for table in this case?",1 day,0 day,7 days,,,,3,"If a retention period is specified for a database or schema, the period is inherited by default for all objects created in the database/schema.",,Test 10,10
48,Which file format is an open-source data serialization and RPC framework originally developed for use with Apache Hadoop,XML,ORC,JSON,PARQUET,AVRO,,5,Avro is an open-source data serialization and RPC framework originally developed for use with Apache Hadoop. It utilizes schemas defined in JSON to produce serialized data in a compact binary format. The serialized data can be sent to any destination (i.e. application or program) and can be easily deserialized at the destination because the schema is included in the data,,Test 10,10
49,Which two table types can have a maximum retention period of 1 day?,MATERIALIZED,PERMANENT,TEMPORARY,TRANSIENT,,,"3, 4","To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides two table types, temporary and transient, which do not incur the same fees as standard (i.e. permanent) tables: Transient tables can have a Time Travel retention period of either 0 or 1 day. Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends. Transient and temporary tables have no Fail-safe period. As a result, the maximum additional fees incurred for Time Travel and Fail-safe by these types of tables is limited to 1 day",,Test 10,10
50,Snowflake supports which of the following file formats for data loading? Select all that apply.,Parquet,CSV,PDF,ORC,,,"1, 2, 4",Refer Snowflake Document section of Semi Structure –https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,https://docs.snowflake.com/en/user-guide/semistructured-concepts.html,Test 10,10
51,Which command can be executed to get the version history of table “Test1“ in schema “mytestdb.myschema“ within the time travel period in snowflake?,show history of table like ‘Test1‘ in mytestdb.myschema;,show version of table like ‘Test1‘ in mytestdb.myschema;,show tables version like ‘Test1‘ in mytestdb.myschema;,show tables history like ‘Test1‘ in mytestdb.myschema;,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 10,10
52,"After dropping an object, creating an object with the same name does not restore the object. Instead, it creates a new version of the object. The original, dropped version is still available and can be restored.",TRUE,FALSE,,,,,1,"After dropping an object, creating an object with the same name does not restore the object. Instead, it creates a new version of the object. The original, dropped version is still available and can be restored. Restoring a dropped object restores the object in place (i.e. it does not create a new object).",,Test 10,10
53,Changing the time travel retention period for your account or individual objects changes the value for all lower-level objects that do not have a retention period explicitly set,FALSE,TRUE,,,,,2,"Changing the retention period for your account or individual objects changes the value for all lower-level objects that do not have a retention period explicitly set. For example: If you change the retention period at the account level, all databases, schemas, and tables that do not have an explicit retention period automatically inherit the new retention period. If you change the retention period at the schema level, all tables in the schema that do not have an explicit retention period inherit the new retention period. Keep this in mind when changing the retention period for your account or any objects in your account because the change might have Time Travel consequences that you did not anticipate or intend. In particular, we do not recommend changing the retention period to 0 at the account level.",,Test 10,10
54,Which two SQL Extension clause are provided by Snowflake to support time travel?,PRIOR,BEFORE,DURING,AT,,,"2, 4","To support Time Travel, the following SQL extensions have been implemented: AT | BEFORE clause which can be specified in SELECT statements and CREATE  CLONE commands (immediately after the object name). The clause uses one of the following parameters to pinpoint the exact historical data you wish to access: TIMESTAMP OFFSET (time difference in seconds from the present time) STATEMENT (identifier for statement, e.g. query ID) UNDROP command for tables, schemas, and databases",,Test 10,10
